Poll,Start Date,End Date,Sample,Approve,Disapprove,Margin
RCP Average,4/3/2017,4/17/2017,--,0.425,0.505,-0.08
Gallup,4/14/2017,4/17/2017,1500 A,0.41,0.52,-0.11
Rasmussen Reports,4/13/2017,4/17/2017,1500 LV,0.5,0.5,0
Reuters/Ipsos,4/13/2017,4/17/2017,1843 A,0.43,0.52,-0.09
Marist,4/11/2017,4/12/2017,869 RV,0.39,0.49,-0.1
Economist/YouGov,4/10/2017,4/11/2017,1330 RV,0.43,0.52,-0.09
CBS News,4/7/2017,4/9/2017,1006 A,0.43,0.49,-0.06
Pew Research,4/5/2017,4/11/2017,1243 RV,0.42,0.52,-0.1
CNBC,4/3/2017,4/6/2017,804 A,0.39,0.48,-0.09
Gallup,4/2/2017,4/4/2017,1500 A,0.42,0.52,-0.1
Rasmussen Reports,4/2/2017,4/4/2017,1500 LV,0.46,0.54,-0.08
Economist/YouGov,4/2/2017,4/4/2017,1331 RV,0.43,0.5,-0.07
Reuters/Ipsos,3/31/2017,4/4/2017,2149 A,0.46,0.5,-0.04
Quinnipiac,3/30/2017,4/3/2017,1171 RV,0.35,0.57,-0.22
PPP (D),3/27/2017,3/28/2017,677 RV,0.4,0.53,-0.13
IBD/TIPP,3/24/2017,3/30/2017,904 A,0.34,0.56,-0.22
Gallup,3/26/2017,3/28/2017,1500 A,0.35,0.59,-0.24
Rasmussen Reports,3/26/2017,3/28/2017,1500 LV,0.44,0.56,-0.12
Economist/YouGov,3/26/2017,3/28/2017,1271 RV,0.45,0.5,-0.05
CBS News,3/25/2017,3/28/2017,1088 A,0.4,0.52,-0.12
Reuters/Ipsos,3/24/2017,3/28/2017,1646 A,0.44,0.49,-0.05
McClatchy/Marist,3/22/2017,3/27/2017,906 RV,0.38,0.51,-0.13
Gallup,3/19/2017,3/21/2017,1500 A,0.4,0.55,-0.15
Rasmussen Reports,3/19/2017,3/21/2017,1500 LV,0.46,0.54,-0.08
Economist/YouGov,3/19/2017,3/21/2017,1296 RV,0.44,0.49,-0.05
Reuters/Ipsos,3/17/2017,3/21/2017,1606 A,0.47,0.47,0
Quinnipiac,3/16/2017,3/21/2017,1056 RV,0.37,0.56,-0.19
Economist/YouGov,3/13/2017,3/14/2017,1320 RV,0.44,0.49,-0.05
FOX News,3/12/2017,3/14/2017,1008 RV,0.43,0.51,-0.08
Gallup,3/12/2017,3/14/2017,1500 A,0.4,0.54,-0.14
Rasmussen Reports,3/12/2017,3/14/2017,1500 LV,0.45,0.54,-0.09
Reuters/Ipsos,3/10/2017,3/14/2017,1750 A,0.45,0.49,-0.04
PPP (D),3/10/2017,3/12/2017,808 RV,0.43,0.5,-0.07
Economist/YouGov,3/6/2017,3/7/2017,1359 RV,0.44,0.5,-0.06
Gallup,3/5/2017,3/7/2017,1500 A,0.42,0.53,-0.11
Rasmussen Reports,3/5/2017,3/7/2017,1500 LV,0.49,0.51,-0.02
Reuters/Ipsos,3/3/2017,3/7/2017,1662 A,0.48,0.46,0.02
Quinnipiac,3/2/2017,3/6/2017,1283 RV,0.41,0.52,-0.11
Monmouth,3/2/2017,3/5/2017,722 RV,0.44,0.46,-0.02
USA Today/Suffolk,3/1/2017,3/5/2017,1000 RV,0.47,0.44,0.03
CNN/ORC,3/1/2017,3/4/2017,1025 A,0.45,0.52,-0.07