Start Date,End Date,Approve,Disapprove,No opinion,Margin
4/10/2017,4/16/2017,0.4,0.54,0.06,-0.14
4/3/2017,4/9/2017,0.4,0.53,0.07,-0.13
3/27/2017,4/2/2017,0.38,0.57,0.05,-0.19
3/20/2017,3/26/2017,0.39,0.56,0.06,-0.17
3/13/2017,3/19/2017,0.4,0.55,0.05,-0.15
3/6/2017,3/12/2017,0.42,0.52,0.06,-0.1
2/27/2017,3/5/2017,0.43,0.51,0.06,-0.08
2/20/2017,2/26/2017,0.42,0.53,0.05,-0.11
2/13/2017,2/19/2017,0.4,0.54,0.05,-0.14
2/6/2017,2/12/2017,0.41,0.53,0.06,-0.12
1/30/2017,2/5/2017,0.43,0.52,0.05,-0.09
1/20/2017,1/29/2017,0.45,0.47,0.08,-0.02