Start Date,End Date,Approve,Disapprove,unsure/no data,Margin
4/14/2017,4/17/2017,0.41,0.52,0.07,-0.11
4/13/2017,4/15/2017,0.41,0.53,0.06,-0.12
4/12/2017,4/14/2017,0.39,0.55,0.06,-0.16
4/11/2017,4/13/2017,0.4,0.55,0.05,-0.15
4/10/2017,4/12/2017,0.4,0.54,0.06,-0.14
4/9/2017,4/11/2017,0.41,0.52,0.07,-0.11
4/8/2017,4/10/2017,0.4,0.54,0.06,-0.14
4/7/2017,4/9/2017,0.4,0.53,0.07,-0.13
4/6/2017,4/8/2017,0.4,0.54,0.06,-0.14
4/5/2017,4/7/2017,0.4,0.54,0.06,-0.14
4/4/2017,4/6/2017,0.4,0.54,0.06,-0.14
4/3/2017,4/5/2017,0.41,0.53,0.06,-0.12
4/2/2017,4/4/2017,0.42,0.52,0.06,-0.1
4/1/2017,4/3/2017,0.39,0.55,0.06,-0.16
3/31/2017,4/2/2017,0.38,0.57,0.05,-0.19
3/30/2017,4/1/2017,0.38,0.57,0.05,-0.19
3/29/2017,3/31/2017,0.4,0.56,0.04,-0.16
3/28/2017,3/30/2017,0.38,0.56,0.06,-0.18
3/27/2017,3/29/2017,0.38,0.57,0.05,-0.19
3/26/2017,3/28/2017,0.35,0.59,0.06,-0.24
3/25/2017,3/27/2017,0.36,0.56,0.08,-0.2
3/24/2017,3/26/2017,0.36,0.57,0.07,-0.21
3/23/2017,3/25/2017,0.4,0.54,0.06,-0.14
3/22/2017,3/24/2017,0.41,0.54,0.05,-0.13
3/21/2017,3/23/2017,0.41,0.54,0.05,-0.13
3/20/2017,3/22/2017,0.39,0.56,0.05,-0.17
3/19/2017,3/21/2017,0.4,0.55,0.05,-0.15
3/18/2017,3/20/2017,0.39,0.56,0.05,-0.17
3/17/2017,3/19/2017,0.39,0.55,0.06,-0.16
3/16/2017,3/18/2017,0.37,0.58,0.05,-0.21
3/15/2017,3/17/2017,0.4,0.55,0.05,-0.15
3/14/2017,3/16/2017,0.41,0.54,0.05,-0.13
3/13/2017,3/15/2017,0.42,0.53,0.05,-0.11
3/12/2017,3/14/2017,0.4,0.54,0.06,-0.14
3/11/2017,3/13/2017,0.39,0.55,0.06,-0.16
3/10/2017,3/12/2017,0.42,0.51,0.07,-0.09
3/9/2017,3/11/2017,0.45,0.49,0.06,-0.04
3/8/2017,3/10/2017,0.44,0.49,0.07,-0.05
3/7/2017,3/9/2017,0.42,0.52,0.06,-0.1
3/6/2017,3/8/2017,0.41,0.53,0.06,-0.12
3/5/2017,3/7/2017,0.42,0.53,0.05,-0.11
3/4/2017,3/6/2017,0.43,0.51,0.06,-0.08
3/3/2017,3/5/2017,0.44,0.5,0.06,-0.06
3/2/2017,3/4/2017,0.43,0.5,0.07,-0.07
3/1/2017,3/3/2017,0.43,0.51,0.06,-0.08